iter	Accuracy	MultiClass
478	1	0.112341525
479	1	0.1118528545
480	1	0.111587399
481	1	0.1111896422
482	1	0.1109375058
483	1	0.1108085738
484	1	0.1106288041
485	1	0.1104324627
486	1	0.1100063773
487	1	0.1096103808
488	1	0.1094047082
489	1	0.1091079595
490	1	0.1088470212
491	1	0.1084845209
492	1	0.1082880028
493	1	0.1080760793
494	1	0.1078050902
495	1	0.1076457804
496	1	0.1074894921
497	1	0.1073358495
498	1	0.1069567004
499	1	0.1066658899
500	1	0.1064286341
501	1	0.1062278952
502	1	0.1058966043
503	1	0.1057238343
504	1	0.1053450143
505	1	0.1049153153
506	1	0.1048001708
507	1	0.1043289982
508	1	0.1039518285
509	1	0.1036121491
510	1	0.103381517
511	1	0.1029804822
512	1	0.1027134481
513	1	0.1021930386
514	1	0.1020097836
515	1	0.1017673468
516	1	0.1015359967
517	1	0.1013408373
518	1	0.1011977182
519	1	0.1009828072
520	1	0.1006841062
521	1	0.1004034921
522	1	0.1001019373
523	1	0.099912449
524	1	0.0995000476
525	1	0.09924942006
526	1	0.09900818788
527	1	0.09888144736
528	1	0.09855091664
529	1	0.09825047952
530	1	0.0980493078
531	1	0.09764442754
532	1	0.09739839072
533	1	0.09708889876
534	1	0.09678773026
535	1	0.09649705466
536	1	0.0961916203
537	1	0.0959171677
538	1	0.09563689692
539	1	0.09525407744
540	1	0.09512800724
541	1	0.09470566668
542	1	0.09454135735
543	1	0.09428672555
544	1	0.09405316473
545	1	0.09393573241
546	1	0.09371638074
547	1	0.09352239181
548	1	0.09334728977
549	1	0.09307215211
550	1	0.09278224884
551	1	0.09247180257
552	1	0.09217457177
553	1	0.09202978711
554	1	0.09173129141
555	1	0.09140251051
556	1	0.09108999206
557	1	0.09085235376
558	1	0.09062168089
559	1	0.09035060861
560	1	0.09014482459
561	1	0.08981951836
562	1	0.08964069747
563	1	0.08934557622
564	1	0.0892120246
565	1	0.08897750919
566	1	0.08871040441
567	1	0.08849313615
568	1	0.08837539818
569	1	0.08819453266
570	1	0.08804916476
571	1	0.08781845931
572	1	0.08769490562
573	1	0.08747119258
574	1	0.08718543795
575	1	0.0870068516
576	1	0.08682420118
577	1	0.08656021141
578	1	0.08637654863
579	1	0.08620249296
580	1	0.08605665536
581	1	0.0858516975
582	1	0.08566077076
583	1	0.08538717527
584	1	0.08516127436
585	1	0.08498084989
586	1	0.08469827194
587	1	0.08460896147
588	1	0.08428058524
589	1	0.0841317976
590	1	0.08379482545
591	1	0.0836213708
592	1	0.08350067773
593	1	0.08331887213
594	1	0.08305264827
595	1	0.08296321829
596	1	0.08282115361
597	1	0.0826519141
598	1	0.08248138688
599	1	0.08222164835
600	1	0.0820392332
601	1	0.08189836382
602	1	0.08170922699
603	1	0.08154396701
604	1	0.08140142076
605	1	0.08112527472
606	1	0.08086294082
607	1	0.08063640803
608	1	0.08040703661
609	1	0.08018100387
610	1	0.07999423681
611	1	0.07982848217
612	1	0.07969643064
613	1	0.07954032529
614	1	0.07937237548
615	1	0.07921662682
616	1	0.07903638401
617	1	0.07884026219
618	1	0.07872116449
619	1	0.07851308082
620	1	0.07829424975
621	1	0.07817769791
622	1	0.07811071061
623	1	0.07789174505
624	1	0.07779331645
625	1	0.07757559038
626	1	0.07746388794
627	1	0.07726963577
628	1	0.07707036773
629	1	0.07682036932
630	1	0.07663592959
631	1	0.07645646375
632	1	0.07628417841
633	1	0.07623980602
634	1	0.07611831316
635	1	0.07604757409
